,Symbol,Data_Found,Price,Short_MA,Long_MA,RSI,RSI_Signal,ROC,MACD,Signal_Line,Stoch_K,Stoch_D,Bandwidth,Hist_Low_BW,Volume,Vol_Short,Vol_Long,Status,setup_type,Summary,Trend_OK,RSI_OK,Squeeze_OK,MACD_OK,vol_rising,Issue
86,ADARSHPL,True,28.72,28.65,28.74,70.36,63.1,-0.73,0.08,-0.07,57.23,61.15,27.88,7.48,250.0,894.836990125346,3144.001773917123,FAIL,NONE,Downtrend | No Squeeze | Vol Trend Weak,False,True,False,True,False,
87,ADCINDIA,True,1257.0,1431.97,1441.14,34.64,37.03,-2.83,-60.14,-59.92,44.53,19.64,14.26,7.63,9035.0,7194.243861165984,5033.465109865775,FAIL,NONE,Downtrend | Low RSI | No Squeeze | MACD Wait,False,False,False,False,True,
88,ADCON,True,0.63,0.76,0.77,6.45,32.98,-25.0,-0.03,-0.0,0.0,0.0,44.49,7.29,1080127.0,1059209.9240058537,1444361.0821952,FAIL,NONE,Downtrend | Low RSI | No Squeeze | MACD Wait | Vol Trend Weak,False,False,False,False,False,
89,ADDIND,True,114.25,114.75,96.23,61.14,44.6,1.15,-1.85,-2.44,72.34,66.53,8.41,8.41,497.0,2148.5533216879576,2506.4696326596995,FAIL,NONE,Downtrend | Vol Trend Weak,False,True,True,True,False,
90,ADFFOODS,True,205.69,214.53,240.41,37.13,32.91,0.91,-3.39,-2.91,48.1,24.86,10.74,7.87,246574.0,116955.01522838118,101194.22047508112,FAIL,NONE,Downtrend | Low RSI | No Squeeze | MACD Wait,False,False,False,False,True,
91,ADHBHUTIN,True,15.06,17.32,18.4,39.12,42.09,-14.29,-0.52,-0.33,1.74,22.61,20.01,8.6,4409.0,2079.221443765471,1395.3058135514952,FAIL,NONE,Downtrend | Low RSI | No Squeeze | MACD Wait,False,False,False,False,True,
92,ADHHATA,False,,,,,,,,,,,,,,,,,,,,,,,,136009220
93,ADINATH,True,26.61,26.25,25.87,51.83,51.12,-3.06,-0.08,-0.03,58.01,52.57,10.22,6.35,1663.0,2088.278271586235,1671.258848700482,FAIL,NONE,No Squeeze | MACD Wait,True,True,False,False,True,
94,ADITYA,True,9.67,9.78,9.78,53.61,54.34,-2.32,0.01,0.01,21.89,22.68,12.75,11.84,127.0,3157.9452298285614,4132.437044752574,FAIL,NONE,Downtrend | MACD Wait | Vol Trend Weak,False,True,True,False,False,
95,ADITYASP,True,17.5,20.62,22.07,6.9,32.26,-16.67,-0.69,-0.32,10.42,11.35,24.68,3.16,780.0,2268.6262820432053,2138.4535082423913,FAIL,NONE,Downtrend | Low RSI | No Squeeze | MACD Wait,False,False,False,False,True,
