================================================================================
1. SUMMARY TABLE - Key columns
================================================================================
            date  starting_capital      sold    bought  remaining  portfolio_value  gain_percentage
628   2023-06-07           6876.82      0.00      0.00    6876.82         11151.62           -88.85
629   2023-06-08           6876.82      0.00      0.00    6876.82         11070.82           -88.93
630   2023-06-09           6876.82    776.60      0.00    7653.42         11028.42           -88.97
631   2023-06-12           7653.42    759.00   1459.20    6953.22         11093.12           -88.91
632   2023-06-13           6953.22    713.32      0.00    7666.54         11107.64           -88.89
633   2023-06-14           7666.54      0.00      0.00    7666.54         11087.04           -88.91
634   2023-06-15           7666.54      0.00      0.00    7666.54         11063.74           -88.94
635   2023-06-16           7666.54      0.00      0.00    7666.54         11112.14           -88.89
636   2023-06-19           7666.54   1587.60   2014.45    7239.69         11193.59           -88.81
637   2023-06-20           7239.69      0.00      0.00    7239.69         11262.19           -88.74
638   2023-06-21           7239.69      0.00      0.00    7239.69         11206.79           -88.79
639   2023-06-22           7239.69      0.00      0.00    7239.69         11185.34           -88.81
640   2023-06-23           7239.69    442.78      0.00    7682.47         11161.52           -88.84
641   2023-06-26           7682.47   1024.00   2255.70    6450.77         11246.57           -88.75
642   2023-06-27           6450.77      0.00      0.00    6450.77         11314.32           -88.69
643   2023-06-28           6450.77      0.00      0.00    6450.77         11339.87           -88.66
644   2023-06-29           6450.77      0.00      0.00    6450.77         11339.87           -88.66
645   2023-06-30           6450.77      0.00      0.00    6450.77         11436.07           -88.56
646   2023-07-03           6450.77   1600.95   1391.80    6659.92         11487.02           -88.51
647   2023-07-04           6659.92    539.52      0.00    7199.44         11602.44           -88.40
648   2023-07-05           7199.44      0.00      0.00    7199.44         11803.99           -88.20
649   2023-07-06           7199.44      0.00      0.00    7199.44         11747.39           -88.25
650   2023-07-07           7199.44      0.00      0.00    7199.44         11735.64           -88.26
651   2023-07-10           7199.44   2895.85   2596.34    7498.95         11646.87           -88.35
652   2023-07-11           7498.95      0.00      0.00    7498.95         11719.87           -88.28
653   2023-07-12           7498.95      0.00      0.00    7498.95         11790.97           -88.21
654   2023-07-13           7498.95      0.00      0.00    7498.95         11798.24           -88.20
655   2023-07-14           7498.95      0.00      0.00    7498.95         11825.33           -88.17
656   2023-07-17           7498.95   1090.15   1484.25    7104.85         11306.42           -88.69
657   2023-07-18           7104.85      0.00      0.00    7104.85         11281.70           -88.72
658   2023-07-19           7104.85    458.05      0.00    7562.90         11298.36           -88.70
659   2023-07-20           7562.90      0.00      0.00    7562.90         11350.00           -88.65
660   2023-07-21           7562.90      0.00      0.00    7562.90         11333.71           -88.67
661   2023-07-24           7562.90   1626.54   2654.75    6534.69         11214.59           -88.79
662   2023-07-25           6534.69   1034.49      0.00    7569.18         11166.18           -88.83
663   2023-07-26           7569.18      0.00      0.00    7569.18         11181.83           -88.82
664   2023-07-27           7569.18      0.00      0.00    7569.18         11155.93           -88.84
665   2023-07-28           7569.18   1342.37      0.00    8911.55         11127.75           -88.87
666   2023-07-31           8911.55    529.90   2606.45    6835.00         11145.15           -88.85
667   2023-08-01           6835.00      0.00      0.00    6835.00         11150.85           -88.85
668   2023-08-02           6835.00      0.00      0.00    6835.00         11069.05           -88.93
669   2023-08-03           6835.00      0.00      0.00    6835.00         11218.75           -88.78
670   2023-08-04           6835.00    430.96      0.00    7265.96         11197.66           -88.80
671   2023-08-07           7265.96   1588.09   2265.00    6589.05         11154.80           -88.85
672   2023-08-08           6589.05      0.00      0.00    6589.05         10271.50           -89.73
673   2023-08-09           6589.05      0.00      0.00    6589.05         10285.85           -89.71
674   2023-08-10           6589.05      0.00      0.00    6589.05         10350.20           -89.65
675   2023-08-11           6589.05      0.00      0.00    6589.05         10268.75           -89.73
676   2023-08-14           6589.05   2475.47   2740.20    6324.32         10163.47           -89.84
677   2023-08-15           6324.32      0.00      0.00    6324.32         10163.47           -89.84
678   2023-08-16           6324.32      0.00      0.00    6324.32         10321.07           -89.68
679   2023-08-17           6324.32      0.00      0.00    6324.32         10335.56           -89.66
680   2023-08-18           6324.32    277.59      0.00    6601.91         10291.16           -89.71
681   2023-08-21           6601.91   2707.21   3566.15    5742.97          9996.92           -90.00
682   2023-08-22           5742.97      0.00      0.00    5742.97          9763.27           -90.24
683   2023-08-23           5742.97      0.00      0.00    5742.97          9838.12           -90.16
684   2023-08-24           5742.97      0.00      0.00    5742.97          9880.42           -90.12
685   2023-08-25           5742.97      0.00      0.00    5742.97          9903.27           -90.10
686   2023-08-28           5742.97   3364.42   2155.85    6951.54          9920.59           -90.08
687   2023-08-29           6951.54      0.00      0.00    6951.54          9929.89           -90.07
688   2023-08-30           6951.54    567.41      0.00    7518.95          9851.90           -90.15
689   2023-08-31           7518.95      0.00      0.00    7518.95          9906.85           -90.09
690   2023-09-01           7518.95      0.00      0.00    7518.95          9928.95           -90.07
691   2023-09-04           7518.95   1172.35   1683.40    7007.90          9950.70           -90.05
692   2023-09-05           7007.90      0.00      0.00    7007.90          9996.70           -90.00
693   2023-09-06           7007.90      0.00      0.00    7007.90         10009.20           -89.99
694   2023-09-07           7007.90    781.98      0.00    7789.88         10065.18           -89.93
695   2023-09-08           7789.88      0.00      0.00    7789.88         10055.78           -89.94
696   2023-09-11           7789.88   1420.20   3903.83    5306.25         10166.71           -89.83
697   2023-09-12           5306.25   1730.84      0.00    7037.09          9783.14           -90.22
698   2023-09-13           7037.09    497.85      0.00    7534.94          9892.94           -90.11
699   2023-09-14           7534.94      0.00      0.00    7534.94          9913.94           -90.09
700   2023-09-15           7534.94      0.00      0.00    7534.94          9972.79           -90.03
701   2023-09-18           7534.94    822.70   2595.95    5761.69          9960.24           -90.04
702   2023-09-19           5761.69      0.00      0.00    5761.69          9960.24           -90.04
703   2023-09-20           5761.69      0.00      0.00    5761.69          9961.54           -90.04
704   2023-09-21           5761.69      0.00      0.00    5761.69          9783.14           -90.22
705   2023-09-22           5761.69      0.00      0.00    5761.69          9810.89           -90.19
706   2023-09-25           5761.69    449.38    657.55    5553.52          9770.72           -90.23
707   2023-09-26           5553.52    564.64      0.00    6118.16          9750.06           -90.25
708   2023-09-27           6118.16      0.00      0.00    6118.16          9762.86           -90.24
709   2023-09-28           6118.16      0.00      0.00    6118.16          9775.51           -90.22
710   2023-09-29           6118.16      0.00      0.00    6118.16          9872.51           -90.13
711   2023-10-02           6118.16    626.00    940.70    5803.46          9835.16           -90.16
712   2023-10-03           5803.46      0.00      0.00    5803.46          9852.26           -90.15
713   2023-10-04           5803.46      0.00      0.00    5803.46          9834.91           -90.17
714   2023-10-05           5803.46      0.00      0.00    5803.46          9928.61           -90.07
715   2023-10-06           5803.46      0.00      0.00    5803.46          9960.61           -90.04
716   2023-10-09           5803.46   1717.10    859.80    6660.76          9881.92           -90.12
717   2023-10-10           6660.76      0.00      0.00    6660.76         10001.97           -90.00
718   2023-10-11           6660.76      0.00      0.00    6660.76         10025.02           -89.97
719   2023-10-12           6660.76      0.00      0.00    6660.76         10065.62           -89.93
720   2023-10-13           6660.76      0.00      0.00    6660.76         10076.02           -89.92
721   2023-10-16           6660.76   1368.70   1500.70    6528.76         10210.09           -89.79
722   2023-10-17           6528.76      0.00      0.00    6528.76         10336.11           -89.66
723   2023-10-18           6528.76      0.00      0.00    6528.76         10172.50           -89.83
724   2023-10-19           6528.76      0.00      0.00    6528.76         10196.64           -89.80
725   2023-10-20           6528.76      0.00      0.00    6528.76         10116.96           -89.88
726   2023-10-23           6528.76   1254.46    685.70    7097.52          9924.70           -90.08
727   2023-10-24           7097.52      0.00      0.00    7097.52          9924.70           -90.08
728   2023-10-25           7097.52   1813.08      0.00    8910.60          9854.75           -90.15
729   2023-10-26           8910.60      0.00      0.00    8910.60          9868.60           -90.13
730   2023-10-27           8910.60      0.00      0.00    8910.60          9898.50           -90.10
731   2023-10-30           8910.60      0.00   2423.50    6487.10          9903.60           -90.10
732   2023-10-31           6487.10      0.00      0.00    6487.10          9842.50           -90.16
733   2023-11-01           6487.10      0.00      0.00    6487.10          9832.10           -90.17
734   2023-11-02           6487.10      0.00      0.00    6487.10          9806.10           -90.19
735   2023-11-03           6487.10      0.00      0.00    6487.10          9863.75           -90.14
736   2023-11-06           6487.10      0.00   1650.15    4836.95          9948.85           -90.05
737   2023-11-07           4836.95      0.00      0.00    4836.95         10070.20           -89.93
738   2023-11-08           4836.95    138.92      0.00    4975.87         10133.42           -89.87
739   2023-11-09           4975.87      0.00      0.00    4975.87         10050.27           -89.95
740   2023-11-10           4975.87      0.00      0.00    4975.87         10086.32           -89.91
741   2023-11-13           4975.87   4352.50   3026.85    6301.52          9332.92           -90.67
742   2023-11-14           6301.52      0.00      0.00    6301.52          8576.92           -91.42
743   2023-11-15           6301.52      0.00      0.00    6301.52          8641.82           -91.36
744   2023-11-16           6301.52      0.00      0.00    6301.52          8657.72           -91.34
745   2023-11-17           6301.52      0.00      0.00    6301.52          8668.67           -91.33
746   2023-11-20           6301.52      0.00    842.65    5458.87          8632.67           -91.37
747   2023-11-21           5458.87      0.00      0.00    5458.87          8604.12           -91.40
748   2023-11-22           5458.87    381.70      0.00    5840.57          8598.37           -91.40
749   2023-11-23           5840.57      0.00      0.00    5840.57          8613.12           -91.39
750   2023-11-24           5840.57      0.00      0.00    5840.57          8583.82           -91.42
751   2023-11-27           5840.57   2086.45   3783.50    4143.52          8529.87           -91.47
