======================================================================
  BACKTEST RESULTS REPORT
  Generated: 2026-02-22 14:22:11
======================================================================

[ CONFIGURATION ]
  Config Name       : momentum_config
  Start Date        : 2022-01-01
  End Date          : 2026-02-22
  Daily SL          : True
  Mid-Week Buy      : True
  Initial Capital   :      200,000.00
  Max Positions     : 15
  Min Position (%)  : 0.05
  Risk Threshold    : 1.0
  Buffer Percent    : 0.25
  Exit Threshold    : 40.0
  SL Multiplier     : 2.0
  ATR Fallback Pct   : 0.03
  Pyramiding        : ON
  Pyramid Fraction  : 0.5

[ PERFORMANCE METRICS ]
  Final Portfolio   :    3,208,152.01
  Total Return      :   +3,008,152.01  (+1504.08%)
  CAGR              :     +95.41%
  XIRR              :     +36.74%
  Max Drawdown      :      16.04%
  Sharpe Ratio      :       2.61
  Sortino Ratio     :       4.85
  Calmar Ratio      :       5.95

[ YEAR-ON-YEAR PERFORMANCE ]
  2022              :    +127.69%  (PnL:  +255,378.67 | End Val:   455,378.67)
  2023              :     +84.28%  (PnL:  +389,774.15 | End Val:   852,233.92)
  2024              :     +38.81%  (PnL:  +341,198.02 | End Val: 1,220,341.93)
  2025              :    +131.94%  (PnL: +1,612,609.98 | End Val: 2,834,850.44)
  2026              :     +13.37%  (PnL:  +378,454.02 | End Val: 3,208,152.01)

[ TRADE STATISTICS ]
  Total Buys        : 826
  Pyramid Buys      : 21
  Total Sells       : 789
  Win Rate          :      39.92%
  Profit Factor     :       1.53
  Expectancy/Trade  :   +1178.00
  Avg Holding Days  :       24.4
  Winners           : 315
  Losers            : 474
  Avg Win           :       +8,616.12
  Avg Loss          :       -3,749.16
  Best Trade        : CUPID +317,591.28
  Worst Trade       : MODINSU -17,337.60

[ TRANSACTION COSTS ]
  Total Buy Value   :   35,380,555.90
  Total Sell Value  :   36,317,530.81
  Total Turnover    :   71,698,086.71
  ---
  Buy Side Costs    :       42,205.11
  Sell Side Costs   :       48,132.23
  Total Costs       :       90,337.34
  ---
  Brokerage         :            0.00
  STT               :       71,698.17
  GST               :          458.22
  Stamp Duty        :        5,307.16
  Cost as % Return  :       3.00%

[ CAPITAL GAINS TAX ]
  STCG Trades       : 315
  STCG Gains        :    2,714,078.52
  STCG Tax (20%)    :      542,815.75
  ---
  LTCG Trades       : 0
  LTCG Gains        :            0.00
  LTCG Tax (12.5%)  :            0.00
  ---
  Total Tax         :      542,815.75
  Total Costs+Tax   :      633,153.09
  Net Post-Tax Ret  :   +2,374,998.92

[ TRADE LOG ]
  Symbol                      Entry         Exit    Entry ₹     Exit ₹  Units          PnL Reason
  ICEMAKE                2022-06-06   2022-06-08     138.00     135.70    123      -282.90 close-based stoploss sell at open on 2022-06-08
  BETA                   2022-05-16   2022-06-13     758.55     795.45     15      +553.50 swap: score 57.2 → MPSLTD (90.1)
  MBAPL                  2022-05-16   2022-06-13     145.45     151.92    136      +879.92 hard stoploss hit on 2022-06-13 (low=150.80)
  GOKEX                  2022-05-16   2022-06-13     420.50     386.87     28      -941.64 hard stoploss hit on 2022-06-13 (low=382.55)
  MRPL                   2022-06-13   2022-06-14     116.65     113.15    123      -430.50 hard stoploss hit on 2022-06-14 (low=96.00)
  APARINDS               2022-06-13   2022-06-14     773.00     749.81     23      -533.37 hard stoploss hit on 2022-06-14 (low=744.00)
  OIL                    2022-06-13   2022-06-15     198.35     181.25    100    -1,710.00 close-based stoploss sell at open on 2022-06-15
  SHARDACROP             2022-05-30   2022-06-15     752.00     658.60     20    -1,868.00 close-based stoploss sell at open on 2022-06-15
  WENDT                  2022-06-08   2022-06-16   7,333.10   7,300.00      3       -99.30 close-based stoploss sell at open on 2022-06-16
  VADILALIND             2022-05-09   2022-06-17   1,675.00   1,900.00     10    +2,250.00 close-based stoploss sell at open on 2022-06-17
  MPSLTD                 2022-06-14   2022-06-17     681.00     606.11     26    -1,947.14 hard stoploss hit on 2022-06-17 (low=605.90)
  PRAVEG                 2022-05-30   2022-06-20     159.10     163.95     96      +465.60 swap: score 73.9 → INDOKEM (93.1)
  DSSL                   2022-06-20   2022-06-20     410.80     337.07     29    -2,138.17 hard stoploss hit on 2022-06-20 (low=325.40)
  STERTOOLS              2022-06-13   2022-06-20     211.50     205.16     69      -437.46 hard stoploss hit on 2022-06-20 (low=205.00)
  JKIL                   2022-05-16   2022-06-20     258.76     252.90    177    -1,037.50 hard stoploss hit on 2022-06-20 (low=245.10)
  HAL                    2022-05-30   2022-06-20     909.00     857.66     28    -1,437.52 hard stoploss hit on 2022-06-20 (low=850.00)
  BLS                    2022-06-20   2022-06-23     106.10      97.00    173    -1,574.30 close-based stoploss sell at open on 2022-06-23
  KPIGREEN               2022-06-20   2022-06-27      83.00      69.41    162    -2,201.58 hard stoploss hit on 2022-06-27 (low=69.15)
  ELPROINTL              2022-06-20   2022-07-04      64.95      62.60    214      -502.90 score degraded to 0.0
  APCOTEXIND             2022-05-02   2022-07-04     584.95     597.95     31      +403.00 swap: score 68.1 → ASAHIINDIA (93.9)
  MONTECARLO             2022-07-04   2022-07-04     710.15     688.85     24      -511.20 hard stoploss hit on 2022-07-04 (low=684.00)
  SVLL                   2022-05-09   2022-07-11      75.35      88.00    739    +9,348.35 score degraded to 0.0
  STERTOOLS              2022-06-27   2022-07-19     277.80     253.00     56    -1,388.80 close-based stoploss sell at open on 2022-07-19
  INDOKEM                2022-06-20   2022-07-25      57.25      66.25    206    +1,854.00 swap: score 55.0 → EPIGRAL (85.9)
  MPSLTD                 2022-06-20   2022-08-01     627.05     657.00     31      +928.45 stoploss hit
  VADILALIND             2022-06-27   2022-08-01   1,975.00   2,165.00      8    +1,520.00 swap: score 65.3 → ASTRAMICRO (87.1)
  ASAHIINDIA             2022-07-04   2022-08-01     545.00     599.90     30    +1,647.00 swap: score 65.7 → 20MICRONS (86.4)
  APARINDS               2022-06-20   2022-08-01     950.15   1,136.00     17    +3,159.45 swap: score 65.8 → DLINKINDIA (85.2)
  MARATHON               2022-06-20   2022-08-01     189.45     222.40     71    +2,339.45 swap: score 67.6 → PRADPME (85.2)
  SILVERTUC              2022-07-11   2022-08-05     359.05     318.75     46    -1,853.80 close-based stoploss sell at open on 2022-08-05
